Stage,Section,Order,Character,Script,Voice
2,1,1,Nella,"""헤에, 스테디 너, 겁 먹었어?""",nella_talk_2
2,1,2,Nella,"""그나저나 이건 내 노래 실력을 뽐낼 수 있는 기회라구!""",nella_talk_2
2,1,3,Nella,"""열려라 참깨!""",nella_talk_7
2,1,4,Nella,"""쇳덩이라니! 그건 심벌즈라구.""",nella_gethit_1
2,1,5,Nella,"""스테디, 너의 노래 소리에도 반응할지 궁금하지 않아?""",nella_talk_4
2,1,6,Nella,"""혹시 내 노래소리에 무언가 반응해주지 않을까?""",nella_gethit_3
2,1,7,Nella,"""아니 저게 뭐야?""",nella_talk_10
2,1,8,Nella,"""외눈박이 괴물이 우릴 쳐다보고 있어!""",nella_talk_10
2,1,9,Nella,"""그치! 우리 은근 잘 맞는다니깐?""",nella_gethit_3
2,1,10,Nella,"""스테디! 앞에 지나갈 수가 없어!""",nella_talk_4
2,1,11,Nella,"""그래? 걔네 한 번 다 끊어볼래?""",nella_talk_7
