Stage,Section,Order,Character,Script,Voice
3,1,1,Nella,"""얘 좀 봐, 언제 그렇게 챙겼대? 그럼 난 기타랑 물총!""",nella_talk_2
3,1,2,Nella,"""얘 좀 봐, 언제 그렇게 챙겼대? 그럼 난 기타랑 물총!""",nella_talk_7
3,1,3,Nella,"""윽..뱀이라도 튀어나오면 이 기타로 때려줄테야!""",nella_talk_2
3,1,4,Nella,"""윽..뱀이라도 튀어나오면 이 기타로 때려줄테야!""",nella_talk_7
3,1,5,Nella,"""좋아! 렛츠 고-!""",nella_talk_5
3,1,6,Nella,"""이 워터 엘리펀트 건님이 활약하실 시간이다!""",nella_talk_8
3,1,7,Nella,"""불쌍한 친구들, 목이 말랐나 보구나?""",nella_talk_6
3,1,8,Nella,"""활기를 되찾는 모습을 보니, 보람찬 걸!""",nella_talk_3
3,1,9,Nella,"""음~맑은 공기. 정신도 맑아지는 기분이야.""",nella_talk_7
3,1,10,Nella,"""그보다 앞에 커다란 뱀이 다가오고 있어. 스테디!""",nella_gethit_1
3,1,11,Nella,"""뱀따윈 이 몸의 적수가 되지 못한다구~ 하하!""",nella_talk_4
3,1,12,Nella,"""꺄하하, 탈출이다-!!""",nella_talk_7
3,1,13,Nella,"""히익..! 너무 크잖아!""",nella_talk_2
3,1,14,Nella,"""쟤는 왜 저길 막고 서있는건데?!""",nella_talk_2
3,1,15,Nella,"""아아.. 앨리스가 위험해! 어서!""",nella_talk_9
