Stage,Section,Order,Character,Script,Voice
1,2,1,Steady,"""우욱.. 어지러워.. 오는 길이 왜이리 험한거야.""",steady_talk_10
1,2,2,Steady,"""그런다고 말도 못하는 인형이 대답을 하겠니?""",steady_talk_9
1,2,3,Steady,"""이럴 땐 계획을 세우고 움직여야 해.""",steady_talk_9
1,2,4,Steady,"""당분간 나눠서 움직이자.""",steady_talk_9
1,2,5,Steady,"""뭐야, 이 단란한 가족같은 버튼은?""",steady_gethit_1
1,2,6,Steady,"""어… 앞에 문이 닫혀 있는데?""",steady_gethit_2
1,2,7,Steady,"""수심이 꽤 깊어 보이는걸. 알아서 조심하라고.""",steady_talk_7
1,2,8,Steady,"""그래, 멋지네. 그러다 떨어지지나 마!""",steady_talk_10
1,2,9,Steady,"""혹여나 보드 밖으로 나갈 생각이라면 그만 둬.""",steady_talk_7
1,2,10,Steady,"""그럴 여유는 없다고.""",steady_talk_7
1,2,11,Steady,"""바닥도 무너지고 있어!""",steady_talk_3
1,2,12,Steady,"""고래 인형 하나 찾느라 얼마나 고생을 한건지..""",steady_talk_6
1,2,13,Steady,"""이제 앨리스의 친구를 찾아줬으니 우리의 역할은 여기까지인 건가?""",steady_talk_6
