Stage,Section,Order,Character,Script,Voice
1,2,1,Nella,"""우와아아..! 여기가 뿌바랜드?""",nella_talk_1
1,2,2,Nella,"""뿌바는 어디 있을까? 뿌바야 어딨니~""",nella_talk_1
1,2,3,Nella,"""흥. 안 그래도 너같은 투덜이랑은 떨어져 있고 싶던 참이었거든!""",nella_talk_3
1,2,4,Nella,"""이 짱 큰 대왕 아이스크림 좀 눕혀놔야 겠는걸.""",nella_gethit_2
1,2,5,Nella,"""그러게 말이야. 사이가 좋은 누군가의 집인건가?""",nella_talk_7
1,2,6,Nella,"""저 깃발. 과녁같이 생기지 않았어?""",nella_gethit_3
1,2,7,Nella,"""와아-! 워터 슬라이드다!""",nella_talk_1
1,2,8,Nella,"""저 꼬마 기차는 누가 모는걸까?""",nella_gethit_3
1,2,9,Nella,"""유후, 날 잘보라고, 스테디!""",nella_talk_5
1,2,10,Nella,"""벽이.. 사라졌다?""",nella_talk_8
1,2,11,Nella,"""뿌바! 뿌바 맞지? 찾았어! 드디어 찾았다구!""",nella_talk_4
